FRIIDROTT:
Marcus Hellner
Lars Nelson
Johan Olsson
Ida Ingemarsdotter
Emma Wiken
Daniel Richardsson
Charlotte Kalla
Max Salminen
Fredrik Lööf
Kajsa Bergström
Johan Olsson
Björn Ferry
Cathrine Lindahl
Anders Södergren
Anna Haag
Anja Pärson
Simon Aspelin
Ulrika Bergman
Tomas Holmström
Peter Forsberg
Mats Sundin
Stefan Holm
Carolina Kluft
Christian Olsson
Karl Gustaf Staaf
Gustaf Söderström
Hjalmar Mellander
Jan-Ove Waldner
Pele
Carl Lewis
Michael Jordan
jesse Owens
Nadia Comaneci
Diego Maradona
Muhammad Ali
Tiger Woods
Paavo Nurmi
Jim Thorpe
Wayne Gretzky
Michael Phelps
Sergej Bubka
Eddy Merckx
Alexander Karelin
Johhny Weissmuller
bob Beamon
Johan Cruyff
Wilma Rudolph
Steffi Graf
Pete Sampras
Björn Borg
Babe Didriksen
Aytron Senna
Florence Griffith-Joyner
Larisa Latynina
Eric Heiden
Greg Louganis
Babe Ruth
Franz Beckenbauer
Jim Brown
Jean-Claude Killy
Gordie Howe
Vera Caslavska
Sugar Ray Robinson
Dawn Fraser
Björn Dählie
Ingemar Stenmark
Hicham el Guerrouj
Paul Elvström
Wilt Chamberlain
Michael Schumacher
Abebe Bikila
Yasuhiro Yamashita
Zinedina Zidane
michael Johnson
Lester Piggott
Lance Armstrong
Vasilij Alexejev
Rudy Hartono
Jackie Joyner-Kersee
Gordon Banks
Laszlo Papp
Jack Nicklaus
Aladar Gerevich
Kareem Abdul-Jabbar
Annika Sörenstam
Martina Navratilova
valerij Charlamov
Steve Redgrave
Fausto Coppi
Rod Laver'
Dhyan Chand
Joe DiMaggio
Janet Evans
Michael Doohan
Takanohana
Jelena Välbe
Jose Leandro Andrade
Mireya Luis
Colin Meads
Roger Federer
Franz Klammer
Edwin Moses
Ronaldo
Anja Andersen
chuang Tse-tung
Olga Korbut
Emil Zatopek
Mark Spitz
Sir Donald Bradman
Gheorghe Gruia
Janica Kostelic
Lasse Viren
Giuseppe Meazza
Sonja Henie
Joe Louis
Dominik Hasek
Matti Nykänen
Jelena Izenbajeva



filmer 
historiska personer
